Name of Plant,Scientific Name,Family,Related Database,Therapeutic Use,Tissue & Part,Preparation Method,NE State Availability,Phytochemical(s),Phytochemical Reference,Literature Reference
,"Securinega leucopyrus (Willd.) Mll.Arg.

",EUPHORBIACEAE,,,,,,,,
,"Securinega virosa (Roxb. ex Willd.) Baill.

",EUPHORBIACEAE,,,,,,,,
,"Sedum multicaule Wall. ex Lindl.

",CRASSULACEAE,,,,,,,,
,Semecarpus anacardium L.f.,ANACARDIACEAE,,,,,,,,
,"Senecio bhutanicus N.P.Balakr.

",ASTERACEAE,,,,,,,,
,"Senecio chrysanthemoides DC.

",ASTERACEAE,,,,,,,,
,"Senecio jacquemontianus (Decne.) Benth. ex Hook.f.

",ASTERACEAE,,,,,,,,
,"Senecio tenuifolius Burm.f.

",ASTERACEAE,,,,,,,,
,"Senecio vulgaris L.

",ASTERACEAE,,,,,,,,
,"Sesamum orientale L.

",PEDALIACEAE,,,,,,,,
,"Sesbania bispinosa (Jacq.) W.Wight

",FABACEAE,,,,,,,,
,"Sesbania grandiflora (L.) Poir.

",FABACEAE,,,,,,,,
,"Sesbania sesban (L.) Merr.

",FABACEAE,,,,,,,,
,"Seseli diffusum (Roxb. ex Sm.) Santapau & Wagh

",APIACEAE	,,,,,,,,
,"Seseli sibiricum Benth. ex C.B.Clarke

",APIACEAE	,,,,,,,,
,"Setaria plicata (Lam.) T.Cook

",POACEAE,,,,,,,,
,"Shorea robusta Gaertn.f.

",DIPTEROCARPACEAE,,,,,,,,
,"Sida acuta Burm.f.

",MALVACEAE,,,,,,,,
,"Sida cordata (Burm.f.) Borss.Waalk.

",MALVACEAE,,,,,,,,
,"Sida cordifolia L.

",MALVACEAE,,,,,,,,
,"Sida ovata Forsk.

",MALVACEAE,,,,,,,,
,"Sida rhombifolia L.

",MALVACEAE,,,,,,,,
,"Siegesbeckia orientalis L.

",ASTERACEAE,,,,,,,,
,"Silene conoidea L.

",CARYOPHYLLACEAE,,,,,,,,
,"Silene gallica L.

",CARYOPHYLLACEAE,,,,,,,,
,"Silybum marianum (L.) Gaertn.

",ASTERACEAE,,,,,,,,
,"Sisymbrium altissimum L.

",BRASSICACEAE,,,,,,,,
,"Sisymbrium irio L.

",BRASSICACEAE,,,,,,,,
,"Sisymbrium loeselii L.

",BRASSICACEAE,,,,,,,,
,"Skimmia laureola (DC.) Sieb. & Zucc. ex Walp.

",RUTACEAE,,,,,,,,
,"Smilax glabra Roxb.

",SMILACACEAE,,,,,,,,
,"Smilax lanceaefolia Roxb.

",SMILACACEAE,,,,,,,,
,"Smilax ovalifolia Roxb.

",SMILACACEAE,,,,,,,,
,"Smithia conferta Sm.

",SOLANACEAE,,,,,,,,
,"Smithia sensitiva Aiton

",SOLANACEAE,,,,,,,,
,"Solanum albicaule Kotschy ex Dunal

",SOLANACEAE,,,,,,,,
,"Solanum dulcamara L.

",SOLANACEAE,,,,,,,,
,"Solanum erianthum D.Don

",SOLANACEAE,,,,,,,,
,Solanum ferox L.,SOLANACEAE,,,,,,,,
,Solanum gracilipes Decne.,SOLANACEAE,,,,,,,,
,Solanum indicum L.,SOLANACEAE,,,,,,,,
,Solanum melongena L.,SOLANACEAE,,,,,,,,
,Solanum nigrum L.,SOLANACEAE,,,,,,,,
,Solanum spirale Roxb.,SOLANACEAE,,,,,,,,
,Solanum surattense Burm.f.,SOLANACEAE,,,,,,,,
,Solanum torvum Sw.,SOLANACEAE,,,,,,,,
,Solanum trilobatum L.,SOLANACEAE,,,,,,,,
,Solanum tuberosum L.,SOLANACEAE,,,,,,,,
,Solidago virgaurea L.,ASTERACEAE,,,,,,,,
,Sonchus asper (L.) Hill,ASTERACEAE,,,,,,,,
,Sonchus brachyotus DC.,ASTERACEAE,,,,,,,,
,"Sonchus oleraceus L.

",ASTERACEAE,,,,,,,,
,"Sonneratia caseolaris (L.) Engl.

",SONNERATIACEAE,,,,,,,,
,"Sophora mollis (Royle) Baker

",FABACEAE,,,,,,,,
,Sophora tomentosa L.,FABACEAE,,,,,,,,
,"Sopubia delphinifolia (L.) G.Don

",SCROPHULARIACEAE,,,,,,,,
,"Sorbaria tomentosa (Lindl.) Rehder

",ROSACEAE,,,,,,,,
,"Sorbus aucuparia L.

",ROSACEAE,,,,,,,,
,"Sorghum halepense (L.) Pers.

",POACEAE,,,,,,,,
,"Soymida febrifuga A.Juss.

",MELIACEAE,,,,,,,,
,"Spermadictyon suaveolens Roxb.

",RUBIACEAE,,,,,,,,
,"Sphaeranthus africanus L.

",ASTERACEAE,,,,,,,,
,"Sphaeranthus indicus L.

",ASTERACEAE,,,,,,,,
,"Sphenodesme pentandra Jack.

",VERBENACEAE,,,,,,,,
,"Spilanthes calva DC.

",ASTERACEAE,,,,,,,,
,"Spinacia oleracea L.

",CHENOPODIACEAE,,,,,,,,
,"Spondias pinnata (L.f.) Kurz

",ANACARDIACEAE,,,,,,,,
,"Stachys palustris L.

",LAMIACEAE,,,,,,,,
,"Stachys parviflora Benth.

",LAMIACEAE,,,,,,,,
,"Stachys sylvatica L.

",LAMIACEAE,,,,,,,,
,"Stachytarpheta indica (L.) Vahl

",VERBENACEAE,,,,,,,,
,"Stellaria alsine Grimm

",CARYOPHYLLACEAE,,,,,,,,
,"Stellaria media (L.) Vill.

",CARYOPHYLLACEAE,,,,,,,,
,"Stemodia viscosa Roxb.

",SCROPHULARIACEAE,,,,,,,,
,"Stephania glabra (Roxb.) Miers.

",MENISPERMACEAE,,,,,,,,
,"Stephania hernandifolia (Willd.) Walp.

",MENISPERMACEAE,,,,,,,,
,"Sterculia balanghas L.

",STERCULIACEAE,,,,,,,,
,"Sterculia foetida L.

",STERCULIACEAE,,,,,,,,
,"Sterculia rubiginosa Vent.

",STERCULIACEAE,,,,,,,,
,"Sterculia urens Roxb.

",STERCULIACEAE,,,,,,,,
,"Stereospermum chelonoides (L.f.) DC.

",BIGNONIACEAE,,,,,,,,
,"Stereospermum personatum (Hassk.) Chatterjee

",BIGNONIACEAE,,,,,,,,
,"Stranvaesia glaucescens Lindl.

",ROSACEAE,,,,,,,,
,"Streblus asper Lour.

",MORACEAE,,,,,,,,
,"Striga asiatica (L.) Kuntze

",SCROPHULARIACEAE,,,,,,,,
,"Striga gesnerioides (Willd.) Vatke

",SCROPHULARIACEAE,,,,,,,,
,"Strobilanthes callosus Nees

",ACANTHACEAE,,,,,,,,
,"Strobilanthes cusia (Nees.) Kuntze

",ACANTHACEAE,,,,,,,,
,"Strobilanthes lupulinus Nees

",ACANTHACEAE,,,,,,,,
,"Strophanthus wightianus Wall.

",APOCYNACEAE,,,,,,,,
,"Strychnos aenea A.W.Hill

",LOGANIAACEAE,,,,,,,,
,"Strychnos cinnamomifolia Thwaites

",LOGANIAACEAE,,,,,,,,
,"Strychnos colubrina L.

",LOGANIAACEAE,,,,,,,,
,"Strychnos ignatii Berg.

",LOGANIAACEAE,,,,,,,,
,"Strychnos nux-vomica L.

",LOGANIAACEAE,,,,,,,,
,"Strychnos potatorum L.f.

",LOGANIAACEAE,,,,,,,,
,"Styrax benzoin Dryand.

",STYRACACEAE,,,,,,,,
,"Suaeda fruticosa (L.) Forsk.

",CHENOPODIACEAE,,,,,,,,
,"Swertia alata (D.Don) Royle ex C.B.Clarke

",GENTIANACEAE,,,,,,,,
,"Swertia angustifolia Buch.-Ham. ex D.Don

",GENTIANACEAE,,,,,,,,
,"Swertia paniculata Wall.

",GENTIANACEAE,,,,,,,,
,"Symplocos chinensis (Lour.) Druce

",SYMPLOCACEAE,,,,,,,,
,"Symplocos racemosa Roxb.

",SYMPLOCACEAE,,,,,,,,
,"Synedrella nodiflora (L.) Gaertn.

",ASTERACEAE,,,,,,,,
,"Syringa persica L.

",OLEACEAE,,,,,,,,
,"Syzygium aromaticum (L.) Merr. & L.M.Perry

",MYRTACEAE,,,,,,,,
,"Syzygium cumini (L.) Skeels

",MYRTACEAE,,,,,,,,
,"Syzygium jambos (L.) Alston

",MYRTACEAE,,,,,,,,
,"Syzygium zeylanicum (L.) DC.

",MYRTACEAE,,,,,,,,
,"Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.

",APOCYNACEAE,,,,,,,,
,"Tacca integrifolia Ker-Gawl.

",TACCACEAE,,,,,,,,
,"Tagetes erecta L.

",ASTERACEAE,,,,,,,,
,"Tamarindus indica L.

",CAESALPINIACEAE,,,,,,,,
,"Taraxacum offininale Weber

",ASTERACEAE,,,,,,,,
,"Tarenna asiatica (L.) Kuntze ex K.Schum.

",RUBIACEAE,,,,,,,,
,"Taverniera cuneifolia (Roth) Arn.

",FABACEAE,,,,,,,,
,"Taxus wallichiana Zucc.

",TAXACEAE,,,,,,,,
,"Tecoma stans (L.) Juss. ex Kunth

",BIGNONIACEAE,,,,,,,,
,"Tecomella undulata (Sm.) Seem.

",BIGNONIACEAE,,,,,,,,
,"Tectona grandis L.f.

",VERBENACEAE,,,,,,,,
,"Tephrosia candida (Roxb.) DC.

",FABACEAE,,,,,,,,
,"Tephrosia purpurea (L.) Pers.

",FABACEAE,,,,,,,,
,"Tephrosia uniflora Pers.

",FABACEAE,,,,,,,,
,"Tephrosia villosa (L.) Pers.

",FABACEAE,,,,,,,,
,"Teramnus labialis (L.f.) Spreng

",FABACEAE,,,,,,,,
,"Terminalia alata B.Heyne ex Roth

",COMBRETACEAE,,,,,,,,
,"Terminalia arjuna (Roxb.) Wight & Arn.

",COMBRETACEAE,,,,,,,,
,"Terminalia bellirica (Gaertn.) Roxb.

",COMBRETACEAE,,,,,,,,
,"Terminalia bialata Steud.

",COMBRETACEAE,,,,,,,,
,"Terminalia catappa L.

",COMBRETACEAE,,,,,,,,
,"Terminalia chebula (Gaertn.) Retz.

",COMBRETACEAE,,,,,,,,
,"Terminalia citrina Roxb.

",COMBRETACEAE,,,,,,,,
,"Terminalia coriacea Wight & Arn.

",COMBRETACEAE,,,,,,,,
,"Terminalia myriocarpa Van Heurck & Muell.Arg.

",COMBRETACEAE,,,,,,,,
,"Terminalia pallida Brandis

",COMBRETACEAE,,,,,,,,
,"Terminalia paniculata Roth

",COMBRETACEAE,,,,,,,,
,"Ternstroemia gymnanthera (Wight & Arn.) Bedd.

",THEACEAE,,,,,,,,
,"Tetracera laevis Vahl

",DILLENIACEAE,,,,,,,,
,"Tetradium fraxinifolium (Hook.) Hartley

",RUTACEAE,,,,,,,,
,"Tetradium ruticarpum (A.Juss.) Hartley

",RUTACEAE,,,,,,,,
,"Teucrium chamaedrys L.

",VITACEAE,,,,,,,,
,"Teucrium polium L.

",VITACEAE,,,,,,,,
,"Teucrium scordium L.

",LAMIACEAE,,,,,,,,
,"Thalictrum foliolosum DC.

",RANUNCULACEAE,,,,,,,,
,"Thalictrum minus L.

",RANUNCULACEAE,,,,,,,,
,"Theobroma cacao L.

",STERCULIACEAE,,,,,,,,
,"Thespesia populnea (L.) Soland. ex Correa

",MALVACEAE,,,,,,,,
,"Thevetia peruviana (Pers.) Schum.

",APOCYNACEAE,,,,,,,,
,"Thlaspi arvense L.

",BRASSICACEAE,,,,,,,,
,"Thuja orientalis L.

",CUPRESSACEAE,,,,,,,,
,"Thunbergia alata Bojer ex Sims

",ACANTHACEAE,,,,,,,,
,"Thunbergia grandiflora (Roxb. ex Rottl.) Roxb.

",ACANTHACEAE,,,,,,,,
,"Thunbergia laurifolia Lindl.

",ACANTHACEAE,,,,,,,,
,"Thymus serpyllum L.

",LAMIACEAE,,,,,,,,
,"Thymus vulgaris L.

",LAMIACEAE,,,,,,,,
,"Tiliacora acuminata (Lam.) Hook.f. & Thomson

",MENISPERMACEAE,,,,,,,,
,"Tinospora cordifolia (Willd.) Hook.f. & Thomson

",MENISPERMACEAE,,,,,,,,
,"Tinospora sinensis (Lour.) Merr.

",MENISPERMACEAE,,,,,,,,
,"Toddalia asiatica (L.) Lam.

",RUTACEAE,,,,,,,,
,"Toona ciliata Roem.

",MELIACEAE,,,,,,,,
,"Torenia asiatica L.

",SCROPHULARIACEAE,,,,,,,,
,"Trachelospermum lucidum (D.Don) K.Schum.

",APOCYNACEAE,,,,,,,,
,"Trachylobium hornemannianum Hayne

",CAESALPINIACEAE,,,,,,,,
,"Trachyspermum ammi (L.) Sprague

",APIACEAE,,,,,,,,
,"Trachyspermum roxburghianum (DC.) Wolff

",APIACEAE,,,,,,,,
,"Tragia involucrata L.

",EUPHORBIACEAE,,,,,,,,
,"Tragopogon pratensis L.

",ASTERACEAE,,,,,,,,
,"Tragopogon sinuatus Av-Lall.

",ASTERACEAE,,,,,,,,
,"Trapa natans L.

",TRAPACEAE,,,,,,,,
,"Trema orientalis (L.) Blume

",ULMACEAE,,,,,,,,
,"Trewia nudiflora L.

",EUPHORBIACEAE,,,,,,,,
,"Tribulus terrestris L.

",ZYGOPHYLLACEAE,,,,,,,,
,"Trichilia connaroides (Wight. & Arn.) Bentv.

",MELIACEAE,,,,,,,,
,"Trichodesma africanum (L.) R.Br.

",BORAGINACEAE,,,,,,,,
,"Trichodesma indicum (L.) Lehm.

",BORAGINACEAE,,,,,,,,
,"Trichodesma zeylanicum (Burm.f.) R.Br.

",BORAGINACEAE,,,,,,,,
,"Tricholepis glaberrima DC.

",ASTERACEAE,,,,,,,,
,"Trichosanthes bracteata (Lam.) Voigt

",CUCURBITACEAE,,,,,,,,
,"Trichosanthes cordata Roxb.

",CUCURBITACEAE,,,,,,,,
,"Trichosanthes cucumerina L.

",CUCURBITACEAE,,,,,,,,
,"Trichosanthes dioica Roxb.

",CUCURBITACEAE,,,,,,,,
,"Trichosanthes nervifolia L.

",CUCURBITACEAE,,,,,,,,
,"Trichosanthes wallichiana (Ser.) Wight

",CUCURBITACEAE,,,,,,,,
,"Trifolium alexandrinum L.

",FABACEAE,,,,,,,,
,"Trifolium pratense L.

",FABACEAE,,,,,,,,
,"Trifolium repens L.

",FABACEAE,,,,,,,,
,"Trigonella corniculata (L.) L.

",FABACEAE,,,,,,,,
,"Trigonella foenum-graecum L.

",FABACEAE,,,,,,,,
,"Trigonella incisa Benth.

",FABACEAE,,,,,,,,
,"Trigonella uncata Boiss. & Noe

",FABACEAE,,,,,,,,
,"Triphasia trifolia (Burm.f.) P.Wilson

",RUTACEAE,,,,,,,,
,"Triumfetta semitriloba L.

",TILIACEAE,,,,,,,,
,"Turraea villosa Benn.

",MELIACEAE,,,,,,,,
,"Tussilago farfara L.

",ASTERACEAE,,,,,,,,
,"Tylophora fasciculata Ham. ex Wight

",ASCLEPIADACEAE,,,,,,,,
,"Tylophora indica (Burm.f.) Merr.

",ASCLEPIADACEAE,,,,,,,,
,"Tylophora tenuis Blume

",ASCLEPIADACEAE,,,,,,,,
,"Uncaria gambir (Hunt) Roxb.

",RUBIACEAE,,,,,,,,
,"Uraria crinita Desv.

",FABACEAE,,,,,,,,
,"Uraria lagopodioides (L.) Desv.

",FABACEAE,,,,,,,,
,"Uraria picta (Jacq.) Desv. ex DC.

",FABACEAE,,,,,,,,
,Uraria rufescensÊ(DC.) Schindl.,FABACEAE,,,,,,,,
,"Urena lobata L.

",MALVACEAE,,,,,,,,
,"Urena repanda Roxb. ex Sm.

",MALVACEAE,,,,,,,,
,"Urena sinuata L.

",MALVACEAE,,,,,,,,
,"Urgenia indica (Roxb.) Kunth

",LILIACEAE,,,,,,,,
,"Urtica dioica L.

",URTICACEAE,,,,,,,,
,"Urtica parviflora Roxb.

",URTICACEAE,,,,,,,,
,"Utricularia bifida L.

",LENTIBULARIACEAE,,,,,,,,
,"Uvaria narum (Dunal) Blume

",ANNONACEAE,,,,,,,,
,"Vaccaria pyramidata Medik.

",CARYOPHYLLACEAE,,,,,,,,
,"Valeriana dubia Bunge

",VALERIANACEAE,,,,,,,,
,"Valeriana hardwickii Wall.

",VALERIANACEAE,,,,,,,,
,"Valeriana jatamansi Jones

",VALERIANACEAE,,,,,,,,
,"Vallaris solanacea (Roth) Kuntze

",APOCYNACEAE,,,,,,,,
,"Vanda spathulata (L.) Spreng.

",ORCHIDACEAE,,,,,,,,
,"Vanda tessellata (Roxb.) Hook. ex G.Don

",ORCHIDACEAE,,,,,,,,
,"Vateria indica L.

",DIPTEROCARPACEAE,,,,,,,,
,"Ventilago denticulata Willd.

",RHAMNACEAE,,,,,,,,
,"Ventilago madraspatana Gaertn.

",RHAMNACEAE,,,,,,,,
,"Verbascum chinense (L.) Santapau

",SCROPHULARIACEAE,,,,,,,,
,"Verbascum thapsus L.

",SCROPHULARIACEAE,,,,,,,,
,"Vernonia arborea Buch.-Ham.

",ASTERACEAE,,,,,,,,
,"Vernonia cineria (L.) Less.

",ASTERACEAE,,,,,,,,
,"Vernonia squarrosa (D.Don) Less.

",ASTERACEAE,,,,,,,,
,"Veronica anagallis-aquatica L.

",SCROPHULARIACEAE,,,,,,,,
,"Veronica arvensis L.

",SCROPHULARIACEAE,,,,,,,,
,"Veronica beccabunga L.

",SCROPHULARIACEAE,,,,,,,,
,"Vetiveria zizanioides (L.) Roberty

",POACEAE,,,,,,,,
,"Viburnum foetidum Wall.

",CAPRIFOLIACEAE,,,,,,,,
,"Vicia faba L.

",FABACEAE,,,,,,,,
,"Vicia hirsuta (L.) S.F.Gray

",FABACEAE,,,,,,,,
,"Vicia sativa L.

",FABACEAE,,,,,,,,
,"Vigna aconitifolia (Jacq.) Marechal

",FABACEAE,,,,,,,,
,"Vigna mungo (L.) Hepper

",FABACEAE,,,,,,,,
,"Vigna radiata (L.) Wilczek

",FABACEAE,,,,,,,,
,"Vigna trilobata (L.) Verdcourt

",FABACEAE,,,,,,,,
,"Vigna umbellata (Thunb.) Ohwi & Ohashi

",FABACEAE,,,,,,,,
,"Vigna unguiculata (L.) Walp.

",FABACEAE,,,,,,,,
,"Vincetoxicum album (Mill.) Asch.

",ASCLEPIADACEAE,,,,,,,,
,"Viola biflora L.

",VIOLACEAE,,,,,,,,
,"Viola cineria Boiss.

",VIOLACEAE,,,,,,,,
,"Viola diffusa Ging.

",VIOLACEAE,,,,,,,,
,"Viola patrinii Ging

",VIOLACEAE,,,,,,,,
,"Viola pilosa Blume

",VIOLACEAE,,,,,,,,
,"Viola sylvestris Lam.

",VIOLACEAE,,,,,,,,
,"Viola tricolor L.

",VIOLACEAE,,,,,,,,
,"Viscum articulatum Burm.f.

",LORANTHACEAE,,,,,,,,
,"Viscum monoicum Roxb. ex DC.

",LORANTHACEAE,,,,,,,,
,"Viscum orientale Willd.

",LORANTHACEAE,,,,,,,,
,"Vitex agnus-castus L.

",VERBENACEAE,,,,,,,,
,"Vitex glabrata R.Br.

",VERBENACEAE,,,,,,,,
,"Vitex leucoxylon L.f.

",VERBENACEAE,,,,,,,,
,"Vitex negundo L.

",VERBENACEAE,,,,,,,,
,"Vitex peduncularis Wall. ex Schauer

",VERBENACEAE,,,,,,,,
,"Vitex pinnata L.

",VERBENACEAE,,,,,,,,
,"Vitex trifolia L.

",VERBENACEAE,,,,,,,,
,"Vitis vinifera L.

",VITACEAE,,,,,,,,
,"Wagatea spicata Dalzell

",CAESALPINIACEAE,,,,,,,,
,"Waltheria indica L.

",STERCULIACEAE,,,,,,,,
,"Wattakaka volubilis (L.) Stapf

",ASCLEPIADACEAE,,,,,,,,
,Wedelia bifloraÊ(L.) DC.,ASTERACEAE,,,,,,,,
,"Wedelia chinensis (Osbeck) Merr.

",ASTERACEAE,,,,,,,,
,"Wedelia wallichii Less.

",ASTERACEAE,,,,,,,,
,"Wikstroemia indica (L.) C.A.Mey.

",THYMELAEACEAE,,,,,,,,
,"Withania coagulans (Stocks) Dunal

",SOLANACEAE,,,,,,,,
,"Withania somnifera (L.) Dunal

",SOLANACEAE,,,,,,,,
,"Woodfordia fruticosa (L.) Kurz

",LYTHRACEAE,,,,,,,,
,"Wrightia tinctoria R.Br.

",APOCYNACEAE,,,,,,,,
,"Wrightia tomentosa (Roxb.) Roem. & Schult.

",APOCYNACEAE,,,,,,,,
,"Xanthium strumarium L.

",ASTERACEAE,,,,,,,,
,"Xeromphis spinosa (Thunb.) Keay

",RUBIACEAE,,,,,,,,
,"Xeromphis uliginosa (Retz.) Maheshw.

",RUBIACEAE,,,,,,,,
,"Ximenia americana L.

",OLACACEAE,,,,,,,,
,"Xylia xylocarpa (Roxb.) Taub.

",MIMOSACEAE,,,,,,,,
,"Yucca aloifolia L.

",LILIACEAE,,,,,,,,
,"Yucca gloriosa L.

",LILIACEAE,,,,,,,,
,"Zanonia indica L.

",CUCURBITACEAE,,,,,,,,
,"Zanthoxylum acanthopodium DC.

",RUTACEAE,,,,,,,,
,"Zanthoxylum armatum DC.

",RUTACEAE,,,,,,,,
,"Zanthoxylum nitidum (Roxb.) DC.

",RUTACEAE,,,,,,,,
,"Zanthoxylum ovalifolium Wight

",RUTACEAE,,,,,,,,
,"Zanthoxylum oxyphyllum Edgew.

",RUTACEAE,,,,,,,,
,"Zanthoxylum rhetsa (Roxb.) DC.

",RUTACEAE,,,,,,,,
,"Zataria multiflora Boiss.

",LAMIACEAE,,,,,,,,
,"Zeuxine strateumatica (L.) Schltr.

",ORCHIDACEAE,,,,,,,,
,"Zingiber montanum (Koen.) Link ex A.Dietr.

",ZINGIBERACEAE,,,,,,,,
,"Zingiber officinale Roscoe

",ZINGIBERACEAE,,,,,,,,
,"Zingiber zerumbet (L.) Sm.

",ZINGIBERACEAE,,,,,,,,
,Ziziphus glabrata Heyne ex Roth,RHAMNACEAE,,,,,,,,
,"Ziziphus jujuba Mill.

",RHAMNACEAE,,,,,,,,
,"Ziziphus mauritiana Lam.

",RHAMNACEAE,,,,,,,,
,"Ziziphus nummularia (Burm.f.) Wight & Arn.

",RHAMNACEAE,,,,,,,,
,"Ziziphus oenoplia (L.) Mill.

",RHAMNACEAE,,,,,,,,
,"Ziziphus rugosa Lam.

",RHAMNACEAE,,,,,,,,
,"Zornia gibbosa Span.

",FABACEAE,,,,,,,,
,"Zygophyllum simplex L.

",ZYGOPHYLLACEAE,,,,,,,,
Pelhte,	Garcinia lancaeafolia,Clusiaceae,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010",Stomachache,"Fruit, Leaves","Fruit: Extract taken orally
Leaves: Extract taken orally",Mizoram,Garciniaxanthone-D,"U.S. Department of Agriculture, Agricultural Research Service. 1992-2016. Dr. Dukes Phytochemical and Ethnobotanical Databases. Home Page, http://phytochem.nal.usda.gov/ http://dx.doi.org/10.15482/USDA.ADC/1239279
",
Kau fol,Garcinia cowa,Clusiaceae,"Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.",Cough/Cold,Fruit,Taken orally,Tripura,"
Cowanin, Cowanol, Cowaxanthone, L-Ascorbic Acid, Norcowanin, Rubraxanthone, Xanthone","Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.
",
Zairum,Anogeisus acuminata,Combretaceae,"Rai. P. K; Lalramnghinglova. H; Lesser known ethnomedicinal plants of Mizoram, North East India: An Indo-Burma hotspot region, Journal of Medicinal Plants Research Vol. 4(13), 1301-1307, 2010",Cuts and wounds,Bark,Extract applied topically,Mizoram,"
(-)-Se-Coisolariciresinol, Acutissimin A, Acutissimin B, Anogeissinin, Anogeissusins A, Anogeissusins B, Anolignan A, Anolignan B, Anolignan C, Cas-Talagin, Castalin, Castamollinin, Dihydrodehydrodiconiferyl Alcohol, Eugenigrandin A, Grandinin, On-Ocarpan, Pterostilbene, Vescalagin Carboxylic Acid","Singh, D; et al. The genus Anogeissus: A review on ethnopharmacology, phytochemistry and pharmacology. Journal of ethnopharmacology 194: 30-56, 2016.
",
"Sikkim: Barra
Tripura: Bohera
",	Terminalia arjuna,Combretaceae,"Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.","Breast Cancer
Chest pain",Bark,Extract applied topically,"Tripura
","Arjungenin
","U.S. Department of Agriculture, Agricultural Research Service. 1992-2016. Dr. Dukes Phytochemical and Ethnobotanical Databases. Home Page, http://phytochem.nal.usda.gov/ http://dx.doi.org/10.15482/USDA.ADC/1239279
",
"Barra, Bohera",	Terminalia bellirica,Combretaceae,"Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.
","Asthma
Bleeding gums
Tonsilitis
Toothache","Fruit, Bark","Fruit: Extract taken orally
Bark: Dried powder taken orally","Sikkim
Tripura
","Anolignan B, Arjungenin, Arjunglucoside I, Bellericagenin B, Bellericaside B, Bellericoside, Bis(Acetic Acid), CID 21726781, CID 21726782, Calcium, Chebulagic acid, Chebulic acid, Chebulinic acid, D-Fructose, D-Galactose, D-Glucose, Ellagic Acid, Ethyl gallate, Galactitol, Gallic Acid, Hydrogen Oxalate, Octadeca-9,12-Dienoic Acid, Oleic Acid, Palmitic Acid, Phytosterols, Rhamnose, SCHEMBL1047300, Tannins, Tea extract","Mohanraj, k; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 2018 8:4330

Mohanraj, K; et al., IMPPAT: A curated database of Indian Medicinal Plants, Phytochemistry And Therapeutics, Scientific reports, 8:4329, 2018.
",
"Logyo, Soh salukah, Harra, Nankgka jang (Ao), 
Horitoki",Terminalia chebula,Combretaceae,"Kichu, M; et al. An ethnobotanical study of medicinal plants of Chungtia village, Nagaland, India. Journal of Ethnopharmacology, 166, 5-17, 2015.

Tangjanga. S; et al. An ethnobotanical survey of medicinal plants in the Eastern Himalayan zone of Arunachal Pradesh; India; Journal of Ethnopharmacology 134; 1825; 2011.

Kayang. H; et al. Medicinal Plants of Khasi Hills of Meghalaya, India, Bioprospecting & Ethnopharmacology, 1, 75-80, 2005.

Kabir et al. A survey of medicinal plants used by the Deb barma clan of the Tripura tribe of Moulvibazar district, Bangladesh, Journal of Ethnobiology and Ethnomedicine, 10:19, 2014.

Idrisi. M. S; et al. Indigenous knowledge and medicinal use of plants by local communities in Rangit Valley, South Sikkim, India, NeBIO Vol. 1(2), 34-45 , 2010.
","Chest pain, Conjunctivitis, Constipation, Cough, Fever, Indigestion, Malarial Fever, Throat infections","Fruit, Bark, Root","Fruit: Dried powder taken orally
Root: Paste applied topically
Bark: Dried powder taken orally","Arunachal Pradesh
Meghalaya
Nagaland
Sikkim
Tripura","Arjungenin, Chebulagic acid, Chebulaginic-Acid, Chebulanin, Chebulin, Chebulinicacid, Chebulosides I, Chebulosides II, Coumarin, Ethylgallate, Gallic Acid, Luteolin, Punicalagin, Tannic Acid, Terflavin A","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.

U.S. Department of Agriculture, Agricultural Research Service. 1992-2016. Dr. Dukes Phytochemical and Ethnobotanical Databases. Home Page, http://phytochem.nal.usda.gov/ http://dx.doi.org/10.15482/USDA.ADC/1239279

",
Hilika,Terminalia myriocarpa,Combretaceae,"Perme. N; et al. Medicinal Plants in Traditional Use at Arunachal Pradesh; India; International Journal of Phytopharmacy; Vol. 5 (5); 86-98; 2015.
",Chest pain,Bark,Extract applied topically,"Arunachal Pradesh
","
Ellagic Acid, Ethyl gallate, Flavogallonic Acid, Gallic Acid, Isovitexin, Methyl Gallate, Methyl-Flavogallonate, Orientine, Rutin,Vitexin","Perme, N; et al., Medicinal plants in traditional use at Arunachal Pradesh, India. International Journal of Phytopharmacy 5.5: 86-98, 2015.
",
